,acousticness,dance,duration,energy,instrumentalness,key,liveness,loudness,mode,playlist,song,speech,tempo,time,valence
230,0.863,0.54,222933,0.226,0.0,0,0.0914,-11.049,1,45UoCqtVh2BR1HteUkmRje,4yawEpFmXQoQmTfwyVXmrT,0.0787,96.157,4,0.401
231,0.236,0.824,286667,0.978,0.000718,7,0.393,-9.244,0,45UoCqtVh2BR1HteUkmRje,502X3BGNst24d1LUKkLh35,0.0616,127.997,4,0.78
232,0.355,0.761,238440,0.386,0.0,4,0.0953,-6.158,1,45UoCqtVh2BR1HteUkmRje,51ChrwmUPDJvedPQnIU8Ls,0.0399,134.943,3,0.526
233,0.596,0.743,237240,0.517,0.0,9,0.287,-5.917,1,45UoCqtVh2BR1HteUkmRje,52Z28hjK31wudUscWv1UjR,0.0304,119.974,4,0.71
234,0.562,0.592,185093,0.637,0.0,11,0.13,-8.48,1,45UoCqtVh2BR1HteUkmRje,53Pgsvu3qSYO2aXt5J2vcL,0.0992,159.701,4,0.565
235,0.324,0.711,203640,0.247,7.88e-05,9,0.137,-12.662,1,45UoCqtVh2BR1HteUkmRje,53jVt2BD1Wgh1aUoqAodQT,0.0284,104.983,4,0.491
236,0.129,0.456,252653,0.342,0.0,11,0.124,-8.162,0,45UoCqtVh2BR1HteUkmRje,55nlbqqFVnSsArIeYSQlqx,0.0283,84.087,4,0.224
237,0.418,0.886,313684,0.578,0.000181,11,0.0761,-8.826,1,45UoCqtVh2BR1HteUkmRje,57ef886Y0RQDGLm2jvmYEq,0.0381,114.015,4,0.69
238,0.325,0.615,210507,0.472,0.0,5,0.115,-6.073,0,45UoCqtVh2BR1HteUkmRje,59tg0OPhiHlbsVZ9GFqUk5,0.0267,80.072,4,0.327
239,0.913,0.33,236331,0.225,0.00361,7,0.0957,-11.144,1,45UoCqtVh2BR1HteUkmRje,5ChhnMBhQIKtQXe7fL3yQh,0.0329,184.248,4,0.104
240,0.568,0.479,172724,0.419,0.000217,0,0.11,-6.517,1,45UoCqtVh2BR1HteUkmRje,5Db9VIdDsN5yu3Eu7CT0i4,0.0389,85.014,4,0.186
241,0.511,0.618,230594,0.377,0.0,9,0.105,-6.723,1,45UoCqtVh2BR1HteUkmRje,5DhiAe4rmUWr7BIBh9q3Qy,0.033,169.974,4,0.303
242,0.0259,0.518,340707,0.575,0.0,5,0.109,-4.616,1,45UoCqtVh2BR1HteUkmRje,5ELRkzdzz0HvGpMDlfZHkV,0.0302,120.019,4,0.209
243,0.0155,0.497,212933,0.852,0.0,2,0.0793,-5.517,1,45UoCqtVh2BR1HteUkmRje,5EU1mh0C4Km3k6vGvIDN2J,0.0405,138.8,4,0.713
244,0.00474,0.841,260507,0.741,0.0121,0,0.0911,-6.222,0,45UoCqtVh2BR1HteUkmRje,5EYdTPdJD74r9EVZBztqGG,0.0392,122.984,4,0.97
245,0.819,0.673,193480,0.362,3.19e-06,1,0.0872,-8.95,0,45UoCqtVh2BR1HteUkmRje,5G8eZ56KzG7IZjHligiv6T,0.0441,78.051,4,0.599
246,0.358,0.595,175061,0.608,0.0,5,0.0843,-5.303,0,45UoCqtVh2BR1HteUkmRje,5GT8b1dFaOWFF5twsmSOYx,0.0373,60.878,4,0.452
247,0.192,0.612,230667,0.738,0.0,0,0.0779,-6.648,1,45UoCqtVh2BR1HteUkmRje,5J0S5UgpCwlmEagrqgzvoC,0.0479,81.327,4,0.883
248,0.129,0.662,209693,0.65,0.0,6,0.113,-5.981,1,45UoCqtVh2BR1HteUkmRje,5L79aNYCTKiZq7vaOElXYj,0.0383,117.992,4,0.481
249,0.874,0.544,229632,0.301,0.0,0,0.197,-7.6,1,45UoCqtVh2BR1HteUkmRje,5LP6x0DRwi69MGAYen999y,0.0265,135.699,4,0.251
250,0.0707,0.587,234640,0.647,7.24e-05,9,0.099,-6.161,0,45UoCqtVh2BR1HteUkmRje,5LU1VpAAJJ5FqKfZdNpfIG,0.0295,207.933,4,0.815
251,0.213,0.558,300720,0.723,0.00637,7,0.06,-6.363,1,45UoCqtVh2BR1HteUkmRje,5LhSIkQhAkINBgQZIyzS1i,0.0294,77.993,4,0.7
252,0.527,0.405,211467,0.944,0.0,4,0.214,-8.473,1,45UoCqtVh2BR1HteUkmRje,5Muvh0ooAJkSgBylFyI3su,0.249,192.147,4,0.71
253,0.915,0.463,219663,0.198,0.0,4,0.106,-11.003,1,45UoCqtVh2BR1HteUkmRje,5Nbe9vDQ1YJdreVIlhZEpP,0.0387,123.63,4,0.369
254,0.655,0.702,236038,0.436,0.0,9,0.116,-9.95,1,45UoCqtVh2BR1HteUkmRje,5OLiIGlbC3RmKmLt7C0Jqf,0.032,118.034,4,0.461
